"Campaign name","Ad name","Image, video and slideshow",Reach,Impressions,"Attribution setting","Result type",Results,"Amount spent (USD)",Starts,Ends,"Link clicks","Cost per result","Reporting starts","Unique link clicks","Reporting ends"
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",34110,44150,"7-day click or 1-day view","Meta Leads",124,1529.9933875526,2021-11-30,2021-12-20,368,12.338656351231,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",30576,40824,"7-day click or 1-day view","Meta Leads",141,1352.1198607732,2021-11-30,2021-12-20,359,9.589502558675,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Climate Change (Factual V2)","gg_factual_short.mp4 (1298714567312091)",21932,25846,"7-day click or 1-day view","Meta Leads",94,711.78204856303,2021-12-08,2021-12-20,305,7.5721494527982,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Philanthropy (Factual V2)","gg_factual_short.mp4 (1298714567312091)",16449,19621,"7-day click or 1-day view","Meta Leads",71,658.75271784568,2021-12-08,2021-12-20,232,9.2782072936011,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Animal Welfare (Factual V2)","gg_factual_short.mp4 (1298714567312091)",17743,20462,"7-day click or 1-day view","Meta Leads",62,653.82111355898,2021-12-08,2021-12-20,213,10.545501831596,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Animal Welfare (Factual V3)","gg_factual_short.mp4 (1298714567312091)",41361,51689,"7-day click or 1-day view","Meta Leads",75,591.12424251497,2021-12-23,2022-01-04,223,7.8816565668663,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Lookalikes (Factual V2)","gg_factual_short.mp4 (1298714567312091)",12235,13803,"7-day click or 1-day view","Meta Leads",82,479.75688931914,2021-12-08,2021-12-20,220,5.8506937721846,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)",16854,18904,"7-day click or 1-day view","Meta Leads",35,461.64225586659,2021-11-30,2021-12-20,132,13.189778739045,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (310295524327625)",35513,45767,"7-day click or 1-day view","Meta Leads",64,458.81583508909,2021-12-23,2022-01-04,137,7.168997423267,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Global Poverty (Factual V2)","gg_factual_short.mp4 (1298714567312091)",16210,18406,"7-day click or 1-day view","Meta Leads",53,420.76188183979,2021-12-08,2021-12-20,138,7.9389034309395,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)",16640,21789,"7-day click or 1-day view","Meta Leads",21,353.92,2022-01-07,2022-01-17,70,16.853333333333,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Climate Change (Factual V3)","gg_factual_short.mp4 (1298714567312091)",26192,32982,"7-day click or 1-day view","Meta Leads",43,325.2,2021-12-23,2022-01-04,118,7.5627906976744,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Climate Change (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)",7186,9057,"7-day click or 1-day view","Meta Leads",15,319.36570148674,2021-11-30,2021-12-08,46,21.291046765783,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Philanthropy (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)",5313,6573,"7-day click or 1-day view","Meta Leads",11,288.03120300522,2021-11-30,2021-12-08,41,26.184654818657,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Animal Welfare (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)",7604,8600,"7-day click or 1-day view","Meta Leads",11,283.57496895615,2021-11-30,2021-12-08,46,25.779542632377,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)",21252,24872,"7-day click or 1-day view","Meta Leads",27,277.04,2022-01-07,2022-01-17,86,10.260740740741,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)",9588,14241,"7-day click or 1-day view","Meta Leads",11,262.37,2022-01-07,2022-01-17,45,23.851818181818,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Animal Welfare (Emotional V3)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",13960,18111,"7-day click or 1-day view","Meta Leads",29,261.38,2021-12-23,2022-01-04,79,9.0131034482759,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",4199,4837,"7-day click or 1-day view","Meta Leads",28,251.35585567087,2021-11-30,2021-12-20,57,8.9769948453881,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)",10556,15681,"7-day click or 1-day view","Meta Leads",22,241.87,2022-01-07,2022-01-17,61,10.994090909091,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",3231,4638,"7-day click or 1-day view","Meta Leads",16,217.45431096152,2021-11-30,2021-12-20,45,13.590894435095,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",12724,15212,"7-day click or 1-day view","Meta Leads",15,197.20864715828,2021-12-23,2022-01-04,50,13.147243143885,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Philanthropy (Factual V3)","gg_factual_short.mp4 (1298714567312091)",16469,18991,"7-day click or 1-day view","Meta Leads",17,192.28,2021-12-23,2022-01-04,55,11.310588235294,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Philanthropy (Factual V2)","gg_factual_short.mp4 (1298714567312091)",3209,4127,"7-day click or 1-day view","Meta Leads",24,189.98397376383,2021-12-08,2021-12-20,74,7.9159989068262,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)",5890,6247,"7-day click or 1-day view","Meta Leads",25,184.31628577243,2021-11-30,2021-12-20,55,7.372651430897,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Animal Welfare (Factual V2)","gg_factual_short.mp4 (1298714567312091)",4165,4675,"7-day click or 1-day view","Meta Leads",22,180.78942778714,2021-12-08,2021-12-20,81,8.2177012630517,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Lookalikes (Factual V3)","gg_factual_short.mp4 (1298714567312091)",10828,12582,"7-day click or 1-day view","Meta Leads",20,173.84,2021-12-23,2022-01-04,43,8.692,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Lookalikes (Factual V2)","gg_factual_short.mp4 (1298714567312091)",3949,4546,"7-day click or 1-day view","Meta Leads",29,164.73048909787,2021-12-08,2021-12-20,104,5.6803616930299,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",2811,4084,"7-day click or 1-day view","Meta Leads",17,164.18476402079,2021-11-30,2021-12-20,47,9.6579272953408,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Climate Change (Factual V2)","gg_factual_short.mp4 (1298714567312091)",3957,5008,"7-day click or 1-day view","Meta Leads",21,162.89614242455,2021-12-08,2021-12-20,80,7.7569591630738,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Lookalikes (Emotional V3)","New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (310295524327625)",9720,11130,"7-day click or 1-day view","Meta Leads",16,162.44,2021-12-23,2022-01-04,48,10.1525,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Global Poverty (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)",7234,7693,"7-day click or 1-day view","Meta Leads",8,157.95475818669,2021-11-30,2021-12-20,29,19.744344773336,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual","Global Poverty (Factual)","ggwc_factual_final1 (1).mp4 (886232108921551)",3900,4428,"7-day click or 1-day view","Meta Leads",4,153.36,2021-11-30,2021-12-08,41,38.34,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4 (781123443286306)",2920,3837,"7-day click or 1-day view","Meta Leads",10,150.59009804037,2021-11-30,2021-12-20,17,15.059009804037,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","Auto_Cropped_AR_4_X_5_DCO_ggwc_emotional_set_1 (1).mp4 (781123426619641)",2722,3586,"7-day click or 1-day view","Meta Leads",13,146.51537520603,2021-11-30,2021-12-20,30,11.270413477387,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","gg_factual_short.mp4 (1298714567312091)",13036,15185,"7-day click or 1-day view","Meta Leads",15,144.58,2022-01-07,2022-01-17,39,9.6386666666667,2021-11-20,,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Emotional + Factual (Animated)","ggwc_emotional_set_1 (1).mp4 (869866030367680)",8424,10342,"7-day click or 1-day view","Meta Leads",15,138.06,2022-01-07,2022-01-17,46,9.204,2021-11-20,,2022-01-31
